efficiency,start_time,time_offset,end_time
88.66856,2018-12-04 03:22:00.000,UTC-0400,2018-12-04 09:14:00.000
89.61303,2018-11-10 03:49:00.000,UTC-0400,2018-11-10 12:00:00.000
91.0,2019-01-26 03:42:00.000,UTC-0400,2019-01-26 12:54:00.000
93.93305,2018-02-17 03:35:00.000,UTC-0400,2018-02-17 11:32:00.000
93.62746,2018-12-04 09:18:00.000,UTC-0400,2018-12-04 12:41:00.000
88.6121,2018-01-01 06:20:00.000,UTC-0700,2018-01-01 11:00:00.000
90.18789,2018-08-17 02:32:00.000,UTC-0300,2018-08-17 10:30:00.000
89.54128,2018-12-16 02:41:00.000,UTC-0400,2018-12-16 12:00:00.000
90.634445,2018-08-26 21:46:00.000,UTC+0300,2018-08-27 03:16:00.000
94.97207,2018-04-01 05:05:00.000,UTC-0300,2018-04-01 11:02:00.000
94.90446,2018-06-14 02:03:00.000,UTC-0300,2018-06-14 07:16:00.000
89.952156,2018-02-20 02:12:00.000,UTC-0400,2018-02-20 05:40:00.000
91.037735,2018-08-27 21:12:00.000,UTC+0300,2018-08-28 04:15:00.000
92.20779,2018-06-28 21:57:00.000,UTC-0300,2018-06-28 23:13:00.000
92.72031,2018-05-04 05:48:00.000,UTC-0300,2018-05-04 10:08:00.000
92.67015,2018-04-14 08:05:00.000,UTC-0300,2018-04-14 11:15:00.000
91.85022,2018-07-13 02:11:00.000,UTC-0300,2018-07-13 09:44:00.000
89.779564,2018-07-26 02:41:00.000,UTC-0300,2018-07-26 11:00:00.000
89.76378,2018-05-14 05:05:00.000,UTC-0300,2018-05-14 11:25:00.000
89.655174,2018-05-31 08:15:00.000,UTC-0300,2018-05-31 10:11:00.000
90.574715,2018-06-04 02:41:00.000,UTC-0300,2018-06-04 09:55:00.000
92.21453,2018-01-06 04:14:00.000,UTC-0400,2018-01-06 13:52:00.000
89.0,2019-02-18 03:19:00.000,UTC-0400,2019-02-18 12:54:00.000
94.47369,2018-05-15 03:55:00.000,UTC-0300,2018-05-15 10:15:00.000
95.631065,2018-01-26 01:56:00.000,UTC-0400,2018-01-26 12:13:00.000
94.67456,2018-12-08 03:04:00.000,UTC-0400,2018-12-08 11:30:00.000
88.91013,2018-09-05 02:46:00.000,UTC-0300,2018-09-05 11:29:00.000
87.0,2019-04-07 02:06:00.000,UTC-0300,2019-04-07 11:32:00.000
90.0,2019-02-14 10:20:00.000,UTC-0400,2019-02-14 11:42:00.000
85.71429,2018-09-06 08:37:00.000,UTC-0300,2018-09-06 10:36:00.000
90.4661,2018-08-20 20:59:00.000,UTC+0300,2018-08-21 04:51:00.000
81.0,2019-04-21 13:57:00.000,UTC-0600,2019-04-21 14:29:00.000
90.25641,2018-09-19 02:56:00.000,UTC-0300,2018-09-19 09:25:00.000
91.72577,2018-05-17 03:08:00.000,UTC-0300,2018-05-17 10:11:00.000
91.0,2019-03-07 03:01:00.000,UTC-0400,2019-03-07 11:11:00.000
94.902916,2017-12-16 05:02:00.000,UTC-0400,2017-12-16 11:53:00.000
91.27789,2018-09-14 02:34:00.000,UTC-0300,2018-09-14 10:46:00.000
87.0,2019-03-06 02:57:00.000,UTC-0400,2019-03-06 11:42:00.000
92.17759,2018-01-28 04:06:00.000,UTC-0400,2018-01-28 11:58:00.000
90.0,2019-02-23 02:21:00.000,UTC-0400,2019-02-23 10:55:00.000
77.35849,2018-11-20 10:00:00.000,UTC-0400,2018-11-20 10:52:00.000
85.0,2019-04-11 18:34:00.000,UTC-0300,2019-04-11 20:28:00.000
92.77389,2018-06-11 03:02:00.000,UTC-0300,2018-06-11 10:23:00.000
88.848915,2018-07-31 02:42:00.000,UTC-0300,2018-07-31 07:31:00.000
84.0,2019-02-24 10:31:00.000,UTC-0400,2019-02-24 12:02:00.000
94.230774,2018-03-01 03:19:00.000,UTC-0400,2018-03-01 10:15:00.000
91.013824,2018-07-16 03:18:00.000,UTC-0300,2018-07-16 10:32:00.000
77.0,2019-02-04 11:52:00.000,UTC-0400,2019-02-04 12:10:00.000
93.174065,2017-12-20 03:55:00.000,UTC-0400,2017-12-20 08:48:00.000
